ex_date,lab_date,std,std_conc_NH4,std_conc_NO3,plot,treatment,depth,tube_ID,lab_replicate,ammonium_id,nitrate_id,position,cancel_nitrate,cancel_ammonium,notes
,4/7/2021,1,0,0,,,,,,NH4_20210407A,NO3_20210407A,1,,,
,4/7/2021,1,0.25,0.5,,,,,,NH4_20210407A,NO3_20210407A,2,,,
,4/7/2021,1,0.5,1,,,,,,NH4_20210407A,NO3_20210407A,3,,,
,4/7/2021,1,0.75,2,,,,,,NH4_20210407A,NO3_20210407A,4,,,
,4/7/2021,1,1,3,,,,,,NH4_20210407A,NO3_20210407A,5,,,
,4/7/2021,1,2,4,,,,,,NH4_20210407A,NO3_20210407A,6,,,
,4/7/2021,1,3,5,,,,,,NH4_20210407A,NO3_20210407A,7,,1,
9/22/2020,4/7/2021,,,,w,1,10,ex,1,NH4_20210407A,NO3_20210407A,9,,,
9/22/2020,4/7/2021,,,,w,1,20,ex,1,NH4_20210407A,NO3_20210407A,10,,,
9/22/2020,4/7/2021,,,,w,1,30,ex,1,NH4_20210407A,NO3_20210407A,11,,,
9/22/2020,4/7/2021,,,,w,1,40,ex,1,NH4_20210407A,NO3_20210407A,12,,,
9/22/2020,4/7/2021,,,,w,1,50,ex,1,NH4_20210407A,NO3_20210407A,13,,,
9/22/2020,4/7/2021,,,,w,2,20,ex,1,NH4_20210407A,NO3_20210407A,14,,,
9/22/2020,4/7/2021,,,,w,1,50,ex,2,NH4_20210407A,NO3_20210407A,15,,,
9/22/2020,4/7/2021,,,,w,1,50,ex,3,NH4_20210407A,NO3_20210407A,16,,,
9/22/2020,4/7/2021,,,,w,2,10,ex,1,NH4_20210407A,NO3_20210407A,17,,,
9/22/2020,4/7/2021,,,,w,2,30,ex,1,NH4_20210407A,NO3_20210407A,18,,,
9/22/2020,4/7/2021,,,,w,2,40,ex,1,NH4_20210407A,NO3_20210407A,19,,,
9/22/2020,4/7/2021,,,,w,2,50,ex,1,NH4_20210407A,NO3_20210407A,20,,,
9/22/2020,4/7/2021,,,,w,3,10,ex,1,NH4_20210407A,NO3_20210407A,21,,,
9/22/2020,4/7/2021,,,,w,3,20,ex,1,NH4_20210407A,NO3_20210407A,22,,,
9/22/2020,4/7/2021,,,,w,3,30,ex,1,NH4_20210407A,NO3_20210407A,23,,,
9/22/2020,4/7/2021,,,,w,3,40,ex,1,NH4_20210407A,NO3_20210407A,24,,,
9/22/2020,4/7/2021,,,,w,3,40,ex,2,NH4_20210407A,NO3_20210407A,25,,,
9/22/2020,4/7/2021,,,,w,3,40,ex,3,NH4_20210407A,NO3_20210407A,26,,,
9/22/2020,4/7/2021,,,,w,3,50,ex,1,NH4_20210407A,NO3_20210407A,27,,,
9/22/2020,4/7/2021,,,,w,4,10,ex,1,NH4_20210407A,NO3_20210407A,28,,,
9/22/2020,4/7/2021,,,,w,4,20,ex,1,NH4_20210407A,NO3_20210407A,29,,,
9/22/2020,4/7/2021,,,,w,4,30,ex,1,NH4_20210407A,NO3_20210407A,30,,,
9/22/2020,4/7/2021,,,,w,4,40,ex,1,NH4_20210407A,NO3_20210407A,31,,,
9/22/2020,4/7/2021,,,,w,4,50,ex,1,NH4_20210407A,NO3_20210407A,32,,,
9/22/2020,4/7/2021,,,,w,5,10,ex,1,NH4_20210407A,NO3_20210407A,33,,,
9/22/2020,4/7/2021,,,,w,5,10,ex,1,NH4_20210407A,NO3_20210407A,34,,,
9/22/2020,4/7/2021,,,,w,5,10,ex,2,NH4_20210407A,NO3_20210407A,35,,,
9/22/2020,4/7/2021,,,,w,5,20,ex,3,NH4_20210407A,NO3_20210407A,36,,,
9/22/2020,4/7/2021,,,,w,5,30,ex,1,NH4_20210407A,NO3_20210407A,37,,,
9/22/2020,4/7/2021,,,,w,5,40,ex,1,NH4_20210407A,NO3_20210407A,38,,,
9/22/2020,4/7/2021,,,,w,5,50,ex,1,NH4_20210407A,NO3_20210407A,39,,,
9/22/2020,4/7/2021,,,,w,6,10,ex,1,NH4_20210407A,NO3_20210407A,40,,,
9/22/2020,4/7/2021,,,,w,6,20,ex,1,NH4_20210407A,NO3_20210407A,41,,,
9/22/2020,4/7/2021,,,,w,6,30,ex,1,NH4_20210407A,NO3_20210407A,42,,,
9/22/2020,4/7/2021,,,,w,6,40,ex,1,NH4_20210407A,NO3_20210407A,43,,,
9/22/2020,4/7/2021,,,,w,6,50,ex,1,NH4_20210407A,NO3_20210407A,44,,,
9/22/2020,4/7/2021,,,,w,7,10,ex,1,NH4_20210407A,NO3_20210407A,45,,,
9/22/2020,4/7/2021,,,,w,7,20,ex,1,NH4_20210407A,NO3_20210407A,46,,,
9/22/2020,4/7/2021,,,,w,7,30,ex,1,NH4_20210407A,NO3_20210407A,47,,,
9/22/2020,4/7/2021,,,,w,7,40,ex,1,NH4_20210407A,NO3_20210407A,48,,,
9/22/2020,4/7/2021,,,,w,7,50,ex,1,NH4_20210407A,NO3_20210407A,49,,,
9/22/2020,4/7/2021,,,,w,8,10,ex,1,NH4_20210407A,NO3_20210407A,50,,,
9/22/2020,4/7/2021,,,,w,8,20,ex,1,NH4_20210407A,NO3_20210407A,51,,,
9/22/2020,4/7/2021,,,,w,8,30,ex,1,NH4_20210407A,NO3_20210407A,52,,,
9/22/2020,4/7/2021,,,,w,8,30,ex,2,NH4_20210407A,NO3_20210407A,53,,,
9/22/2020,4/7/2021,,,,w,8,30,ex,3,NH4_20210407A,NO3_20210407A,54,,,
9/22/2020,4/7/2021,,,,w,8,40,ex,1,NH4_20210407A,NO3_20210407A,55,,,
9/22/2020,4/7/2021,,,,w,8,50,ex,1,NH4_20210407A,NO3_20210407A,56,,,
9/22/2020,4/7/2021,,,,,,,BLANK K2SO4,,NH4_20210407A,NO3_20210407A,57,,,
,4/7/2021,1,0,0,,,,reagent_blank,,NH4_20210407A,NO3_20210407A,65,,,
,4/7/2021,1,0,0,,,,reagent_blank,,NH4_20210407A,NO3_20210407A,66,,,
,4/7/2021,1,0,0,,,,reagent_blank,,NH4_20210407A,NO3_20210407A,67,,,
,4/7/2021,1,0,0,,,,reagent_blank,,NH4_20210407A,NO3_20210407A,68,,,
,4/7/2021,1,0,0,,,,reagent_blank,,NH4_20210407A,NO3_20210407A,69,,,
,4/7/2021,1,0,0,,,,reagent_blank,,NH4_20210407A,NO3_20210407A,70,,,
,4/7/2021,1,0,0,,,,reagent_blank,,NH4_20210407A,NO3_20210407A,71,,,
,4/7/2021,1,0,0,,,,reagent_blank,,NH4_20210407A,NO3_20210407A,72,,,
,4/7/2021,1,0,0,,,,,,NH4_20210407B,NO3_20210407B,1,,,
,4/7/2021,1,0.25,0.5,,,,,,NH4_20210407B,NO3_20210407B,2,,,
,4/7/2021,1,0.5,1,,,,,,NH4_20210407B,NO3_20210407B,3,,,
,4/7/2021,1,0.75,2,,,,,,NH4_20210407B,NO3_20210407B,4,,,
,4/7/2021,1,1,3,,,,,,NH4_20210407B,NO3_20210407B,5,,,
,4/7/2021,1,2,4,,,,,,NH4_20210407B,NO3_20210407B,6,,,
,4/7/2021,1,3,5,,,,,,NH4_20210407B,NO3_20210407B,7,,,
9/2/2020,4/7/2021,,,,e,1,10,B,,NH4_20210407B,NO3_20210407B,9,,,
9/2/2020,4/7/2021,,,,e,1,20,B,,NH4_20210407B,NO3_20210407B,10,,,
9/2/2020,4/7/2021,,,,e,1,30,B,,NH4_20210407B,NO3_20210407B,11,,,
9/2/2020,4/7/2021,,,,e,1,40,B,,NH4_20210407B,NO3_20210407B,12,,,
9/2/2020,4/7/2021,,,,e,1,50,B,,NH4_20210407B,NO3_20210407B,13,,,
9/2/2020,4/7/2021,,,,e,2,10,B,,NH4_20210407B,NO3_20210407B,14,,,
9/2/2020,4/7/2021,,,,e,2,20,B,,NH4_20210407B,NO3_20210407B,15,,,
9/2/2020,4/7/2021,,,,e,2,30,B,,NH4_20210407B,NO3_20210407B,16,,,
9/2/2020,4/7/2021,,,,e,2,40,B,,NH4_20210407B,NO3_20210407B,17,,,
9/2/2020,4/7/2021,,,,e,2,50,B,,NH4_20210407B,NO3_20210407B,18,,,
9/2/2020,4/7/2021,,,,e,3,10,B,,NH4_20210407B,NO3_20210407B,19,,,
9/2/2020,4/7/2021,,,,e,3,20,B,,NH4_20210407B,NO3_20210407B,20,,,
9/2/2020,4/7/2021,,,,e,3,30,B,,NH4_20210407B,NO3_20210407B,21,,,
9/2/2020,4/7/2021,,,,e,3,40,B,,NH4_20210407B,NO3_20210407B,22,,,
9/2/2020,4/7/2021,,,,e,3,50,B,,NH4_20210407B,NO3_20210407B,23,,,
9/2/2020,4/7/2021,,,,e,4,10,B,,NH4_20210407B,NO3_20210407B,24,,,
9/2/2020,4/7/2021,,,,e,4,20,B,,NH4_20210407B,NO3_20210407B,25,,,
9/2/2020,4/7/2021,,,,e,4,30,B,,NH4_20210407B,NO3_20210407B,26,,,
9/2/2020,4/7/2021,,,,e,4,40,B,,NH4_20210407B,NO3_20210407B,27,,,
9/2/2020,4/7/2021,,,,e,4,50,B,,NH4_20210407B,NO3_20210407B,28,,,
9/2/2020,4/7/2021,,,,e,5,10,B,,NH4_20210407B,NO3_20210407B,29,,,
9/2/2020,4/7/2021,,,,e,5,20,B,,NH4_20210407B,NO3_20210407B,30,,,
9/2/2020,4/7/2021,,,,e,5,30,B,,NH4_20210407B,NO3_20210407B,31,,,
9/2/2020,4/7/2021,,,,e,5,40,B,,NH4_20210407B,NO3_20210407B,32,,,
